top - 20:17:40 up 13:54,  1 user,  load average: 2.49, 2.75, 3.13
Tasks:  78 total,   2 running,  75 sleeping,   1 stopped,   0 zombie
%Cpu(s): 18.8 us, 26.6 sy,  0.0 ni, 50.0 id,  0.0 wa,  0.0 hi,  4.7 si,  0.0 st
MiB Mem :   3850.9 total,    382.5 free,   2541.8 used,    926.6 buff/cache
MiB Swap:   5120.0 total,   4116.3 free,   1003.7 used.   1061.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    528 portley   20   0 1537004 140652  16572 S  43.8   3.6  10:34.63 node
  98839 portley   20   0  226996   4244   3456 S  43.8   0.1   5:08.87 strace
  98996 portley   20   0   21.5g  77892  44504 t  37.5   2.0   3:24.09 node
    293 portley   20   0   11.3g  98344  19564 R  25.0   2.5   7:53.08 node
    963 portley   20   0   73.0g 518256  28268 S  18.8  13.1  37:58.38 node
   1293 portley   20   0 1086508  66016  22392 S  12.5   1.7   3:18.23 node
  90128 portley   20   0 1011864  15716   7648 S   6.2   0.4   0:35.05 node
  90136 root      20   0    2304     12      0 S   6.2   0.0   0:09.52 Relay(90142)
      1 root      20   0  165972   6648   4544 S   0.0   0.2   0:17.67 systemd
      2 root      20   0    2280    200    200 S   0.0   0.0   0:00.83 init-systemd(Ub
      6 root      20   0    2296      4      4 S   0.0   0.0   0:00.01 init
     89 root      19  -1   64204  10236   9836 S   0.0   0.3   0:12.74 systemd-journal
    113 root      20   0   22260   2228   1896 S   0.0   0.1   0:17.77 systemd-udevd
    117 root      20   0  227756      0      0 S   0.0   0.0   0:00.06 snapfuse
    123 root      20   0  152992      0      0 S   0.0   0.0   0:00.02 snapfuse
    129 root      20   0  227756      0      0 S   0.0   0.0   0:00.03 snapfuse
    135 root      20   0  152992      0      0 S   0.0   0.0   0:00.00 snapfuse
    141 root      20   0  452048   4492      0 S   0.0   0.1   0:06.81 snapfuse
    147 root      20   0  153124     52      0 S   0.0   0.0   0:00.02 snapfuse
    153 root      20   0  152992      0      0 S   0.0   0.0   0:00.00 snapfuse
    159 root      20   0 1036744  24300      0 S   0.0   0.6   2:21.09 snapfuse
    165 root      20   0  152992      0      0 S   0.0   0.0   0:00.02 snapfuse
    171 root      20   0  526812   7876      0 S   0.0   0.2   0:12.22 snapfuse
    259 root      20   0    7532      4      0 S   0.0   0.0   0:00.12 login
    278 systemd+  20   0   26200   1808    700 S   0.0   0.0   0:03.17 systemd-resolve
    279 systemd+  20   0   89364    428      0 S   0.0   0.0   0:03.64 systemd-timesyn
    281 root      20   0    2296      0      0 S   0.0   0.0   0:00.01 SessionLeader
    282 root      20   0    2296      0      0 S   0.0   0.0   0:00.13 Relay(283)
    283 portley   20   0    2892      0      0 S   0.0   0.0   0:00.05 sh
    284 portley   20   0    2892      0      0 S   0.0   0.0   0:00.01 sh
    289 portley   20   0    2892      0      0 S   0.0   0.0   0:00.01 sh
    308 root      20   0  225508    200      0 S   0.0   0.0   0:00.30 cron
    310 message+  20   0    8652   1736   1176 S   0.0   0.0   0:01.47 dbus-daemon
    318 root      20   0  251432    552      0 S   0.0   0.0   0:00.95 networkd-dispat
    319 syslog    20   0  222404    580      0 S   0.0   0.0   0:02.71 rsyslogd
